    ,date      ,price
364 ,2017-09-28,790.75
365 ,2017-09-27,788.31
366 ,2017-09-26,791.05
367 ,2017-09-25,789.89
368 ,2017-09-22,789.7
369 ,2017-09-21,786.41
370 ,2017-09-20,790.48
371 ,2017-09-19,792.68
372 ,2017-09-18,793.7
373 ,2017-09-15,789.49
374 ,2017-09-14,789.41
375 ,2017-09-13,786.43
376 ,2017-09-12,782.54
377 ,2017-09-11,779.58
378 ,2017-09-08,784.74
379 ,2017-09-07,779.2
380 ,2017-09-06,776.97
381 ,2017-09-05,777.02
382 ,2017-09-01,774.06
383 ,2017-08-31,770.08
384 ,2017-08-30,764.57
385 ,2017-08-29,754.59
386 ,2017-08-28,758.02
387 ,2017-08-25,751.14
388 ,2017-08-24,747.72
389 ,2017-08-23,743.1
390 ,2017-08-22,738.2
391 ,2017-08-21,743.66
392 ,2017-08-18,744.3
393 ,2017-08-17,743.2
394 ,2017-08-16,749.37
395 ,2017-08-15,746.07
396 ,2017-08-14,751.39
397 ,2017-08-11,744.99
398 ,2017-08-10,743.42
399 ,2017-08-09,741.36
400 ,2017-08-08,758.42
401 ,2017-08-07,763.08
402 ,2017-08-04,761.44
403 ,2017-08-03,757.88
404 ,2017-08-02,756.04
405 ,2017-08-01,758.36
406 ,2017-07-31,756.24
407 ,2017-07-28,749.86
408 ,2017-07-27,743.7
409 ,2017-07-26,745.79
410 ,2017-07-25,737.93
411 ,2017-07-24,729.54
412 ,2017-07-21,728.47
413 ,2017-07-20,736.64
414 ,2017-07-19,737.77
415 ,2017-07-18,741.32
416 ,2017-07-17,745.59
417 ,2017-07-14,759.97
418 ,2017-07-13,761.36
419 ,2017-07-12,757.57
420 ,2017-07-11,752.75
421 ,2017-07-10,750.79
422 ,2017-07-07,761.61
423 ,2017-07-06,770.58
424 ,2017-07-05,765.87
425 ,2017-07-04,763.92
426 ,2017-07-03,765.8
427 ,2017-06-30,765.41
428 ,2017-06-29,761.21
429 ,2017-06-28,757.1
430 ,2017-06-27,755.07
431 ,2017-06-26,760.8
432 ,2017-06-23,758.24
433 ,2017-06-22,757.94
434 ,2017-06-21,759.84
435 ,2017-06-20,759.67
436 ,2017-06-19,757.5
437 ,2017-06-16,750.07
438 ,2017-06-15,746.59
439 ,2017-06-14,745.53
440 ,2017-06-13,741.39
441 ,2017-06-12,736.86
442 ,2017-06-09,740.2
443 ,2017-06-08,737.52
444 ,2017-06-07,737.18
445 ,2017-06-06,732.69
446 ,2017-06-05,721.74
447 ,2017-06-02,718.33
448 ,2017-06-01,719.76
449 ,2017-05-31,713.43
450 ,2017-05-30,711.48
451 ,2017-05-29,722.26
452 ,2017-05-26,718.87
453 ,2017-05-25,716.4
454 ,2017-05-24,718.28
455 ,2017-05-23,708.62
456 ,2017-05-22,710.86
457 ,2017-05-19,702.03
458 ,2017-05-18,695.3
459 ,2017-05-17,696.37
460 ,2017-05-16,692.91
461 ,2017-05-15,695.22
462 ,2017-05-12,690.84
463 ,2017-05-11,691.02
464 ,2017-05-10,690.53
465 ,2017-05-09,688.08
466 ,2017-05-08,681.11
467 ,2017-05-05,684.17
468 ,2017-05-04,686.29
469 ,2017-05-03,684.99
470 ,2017-04-28,680.49
471 ,2017-04-27,681.36
472 ,2017-04-26,673.53
473 ,2017-04-25,668.58
474 ,2017-04-24,667.08
475 ,2017-04-21,672.6
476 ,2017-04-20,674.3
477 ,2017-04-19,679.69
478 ,2017-04-18,675.71
479 ,2017-04-17,669.31
480 ,2017-04-14,678.45
481 ,2017-04-13,687.72
482 ,2017-04-12,692.4
483 ,2017-04-11,697.93
484 ,2017-04-10,696.72
485 ,2017-04-07,697.62
486 ,2017-04-05,691.07
487 ,2017-04-04,699.07
488 ,2017-04-03,696.73
489 ,2017-03-31,693.22
490 ,2017-03-30,692.5
491 ,2017-03-29,689.91
492 ,2017-03-28,688.31
493 ,2017-03-27,693.49
494 ,2017-03-24,691.76
495 ,2017-03-23,689.32
496 ,2017-03-22,677.96
497 ,2017-03-21,679.69
498 ,2017-03-20,676.02
499 ,2017-03-17,668.35
500 ,2017-03-16,668.07
501 ,2017-03-15,663.57
502 ,2017-03-14,665.46
503 ,2017-03-13,662.67
504 ,2017-03-10,663.49
505 ,2017-03-09,664.3
506 ,2017-03-08,662.48
507 ,2017-03-07,659.9
508 ,2017-03-06,658.61
509 ,2017-03-03,656.77
510 ,2017-03-02,653.76
511 ,2017-03-01,655.99
512 ,2017-02-28,657.95
513 ,2017-02-27,666.22
514 ,2017-02-24,661.81
515 ,2017-02-23,667.42
516 ,2017-02-22,668.61
517 ,2017-02-21,671.52
518 ,2017-02-20,667.56
519 ,2017-02-17,668.1
520 ,2017-02-16,667.72
521 ,2017-02-15,669.08
522 ,2017-02-14,663.43
523 ,2017-02-13,662.68
524 ,2017-02-10,658.78
525 ,2017-02-09,658.83
526 ,2017-02-08,657.97
527 ,2017-02-07,656.48
528 ,2017-02-06,654.03
529 ,2017-02-03,651.18
530 ,2017-02-02,652.98
531 ,2017-01-25,644.79
532 ,2017-01-24,639.32
533 ,2017-01-23,635.42
534 ,2017-01-20,634.28
535 ,2017-01-19,631.0
536 ,2017-01-18,633.1
537 ,2017-01-17,637.54
538 ,2017-01-16,632.7
539 ,2017-01-13,640.07
540 ,2017-01-12,642.25
541 ,2017-01-11,643.39
542 ,2017-01-10,639.36
543 ,2017-01-09,638.4
544 ,2017-01-06,636.34
545 ,2017-01-05,634.83
546 ,2017-01-04,632.7
547 ,2017-01-03,633.89
548 ,2016-12-30,628.21
549 ,2016-12-29,626.95
550 ,2016-12-28,624.83
551 ,2016-12-27,623.46
552 ,2016-12-26,621.73
553 ,2016-12-23,620.75
554 ,2016-12-22,618.35
555 ,2016-12-21,618.43
556 ,2016-12-20,616.74
557 ,2016-12-19,623.85
558 ,2016-12-16,621.04
559 ,2016-12-15,613.25
560 ,2016-12-14,615.26
561 ,2016-12-13,606.71
562 ,2016-12-12,612.83
563 ,2016-12-09,619.64
564 ,2016-12-08,619.45
565 ,2016-12-07,615.0
566 ,2016-12-06,616.26
567 ,2016-12-05,625.32
568 ,2016-12-02,629.64
569 ,2016-12-01,631.55
570 ,2016-11-30,631.89
571 ,2016-11-29,625.78
572 ,2016-11-28,630.62
573 ,2016-11-25,643.38
574 ,2016-11-24,647.47
575 ,2016-11-23,647.59
576 ,2016-11-22,643.76
577 ,2016-11-21,638.87
578 ,2016-11-18,634.35
579 ,2016-11-17,636.02
580 ,2016-11-16,638.72
581 ,2016-11-15,637.51
582 ,2016-11-14,634.13
583 ,2016-11-11,642.0
584 ,2016-11-10,641.9
585 ,2016-11-09,635.42
586 ,2016-11-08,642.01
587 ,2016-11-07,639.91
588 ,2016-11-04,632.54
589 ,2016-11-03,632.81
590 ,2016-11-02,636.54
591 ,2016-11-01,643.05
592 ,2016-10-31,644.22
593 ,2016-10-28,649.27
594 ,2016-10-27,644.18
595 ,2016-10-26,641.81
596 ,2016-10-25,644.91
597 ,2016-10-24,648.29
598 ,2016-10-21,655.17
599 ,2016-10-20,657.15
600 ,2016-10-19,659.39
601 ,2016-10-18,653.32
602 ,2016-10-17,650.46
603 ,2016-10-14,657.59
604 ,2016-10-13,658.29
605 ,2016-10-12,653.25
606 ,2016-10-11,654.88
607 ,2016-10-10,647.25
608 ,2016-10-07,657.54
609 ,2016-10-06,663.12
610 ,2016-10-05,663.95
611 ,2016-10-04,661.89
612 ,2016-10-03,662.42
613 ,2016-09-30,668.44
614 ,2016-09-29,670.3
615 ,2016-09-28,669.17
616 ,2016-09-27,671.21
617 ,2016-09-26,666.1
618 ,2016-09-23,664.31
619 ,2016-09-22,662.31
620 ,2016-09-21,657.44
621 ,2016-09-20,653.66
622 ,2016-09-19,648.83
623 ,2016-09-16,639.37
624 ,2016-09-15,645.02
625 ,2016-09-14,646.93
626 ,2016-09-13,651.8
627 ,2016-09-12,651.63
628 ,2016-09-09,658.66
629 ,2016-09-08,659.25
630 ,2016-09-07,654.79
631 ,2016-09-06,656.02
632 ,2016-09-05,655.08
633 ,2016-09-01,659.09
634 ,2016-08-31,665.25
635 ,2016-08-30,661.2
636 ,2016-08-29,656.23
637 ,2016-08-26,656.71
638 ,2016-08-25,649.06
639 ,2016-08-24,650.95
640 ,2016-08-23,650.92
641 ,2016-08-22,647.46
642 ,2016-08-19,654.42
643 ,2016-08-18,652.87
644 ,2016-08-17,650.82
645 ,2016-08-16,646.44
646 ,2016-08-15,645.66
647 ,2016-08-12,641.11
648 ,2016-08-11,645.1
649 ,2016-08-10,632.86
650 ,2016-08-09,621.43
651 ,2016-08-08,614.65
652 ,2016-08-05,615.06
653 ,2016-08-04,617.41
654 ,2016-08-03,619.8
655 ,2016-08-02,623.16
656 ,2016-08-01,635.41
657 ,2016-07-29,639.17
658 ,2016-07-28,644.33
659 ,2016-07-27,639.63
660 ,2016-07-26,634.68
661 ,2016-07-25,633.21
662 ,2016-07-22,634.34
663 ,2016-07-21,643.16
664 ,2016-07-20,645.15
665 ,2016-07-19,654.17
666 ,2016-07-18,662.29
667 ,2016-07-15,653.63
668 ,2016-07-14,651.14
669 ,2016-07-13,656.89
670 ,2016-07-12,641.58
671 ,2016-07-11,636.02
672 ,2016-07-08,643.56
673 ,2016-07-07,644.52
674 ,2016-07-06,636.18
675 ,2016-07-05,636.27
676 ,2016-07-04,633.57
677 ,2016-07-01,626.34
678 ,2016-06-30,621.79
679 ,2016-06-29,621.39
680 ,2016-06-28,614.31
681 ,2016-06-27,614.42
682 ,2016-06-24,612.69
683 ,2016-06-23,626.5
684 ,2016-06-22,624.18
685 ,2016-06-21,626.97
686 ,2016-06-20,624.19
687 ,2016-06-17,615.75
688 ,2016-06-16,622.54
689 ,2016-06-15,624.19
690 ,2016-06-14,625.36
691 ,2016-06-13,621.75
692 ,2016-06-10,629.27
693 ,2016-06-09,630.66
694 ,2016-06-08,630.09
695 ,2016-06-07,624.01
696 ,2016-06-06,618.88
697 ,2016-06-03,621.05
698 ,2016-06-02,621.18
699 ,2016-06-01,619.38
700 ,2016-05-31,617.52
701 ,2016-05-30,616.73
702 ,2016-05-27,611.0
703 ,2016-05-26,607.16
704 ,2016-05-25,612.74
705 ,2016-05-24,614.62
706 ,2016-05-23,614.45
707 ,2016-05-20,616.4
708 ,2016-05-19,621.13
709 ,2016-05-18,623.92
